Titre de la section,Contenu,Nom du professeur,Description du professeur,Titre de la vidéo,Source,Titre du cours,Durée du cours,Texte_concatene,Réponse
Tirez le maximum de ce cours,,Thomas Dimnet,"Si vous aimez mes cours, vous aimerez : beta.nx.academy",N/A,https://vimeo.com/472965194/,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css thomas dimnet si vous aimez mes cours vous aimerez,Réponse 1
Comment suivre ce cours ?,"Bonjour et bienvenue dans ce cours sur l’accessibilité sur le Web pour les développeurs. 🙂 Je m’appelle Thomas Dimnet, je suis le CTO de SensCritique, et mentor chez OpenClassrooms.",Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",N/A,https://vimeo.com/472965212/,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css bonjour et bienvenue dans ce cours sur l accessibilité sur le web pour les développeurs je appelle thomas dimnet je suis le cto de senscritique et mentor chez openclassrooms lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 2
Familiarisez-vous avec le contenu du cours,Ce cours a pourobjectifde vous aider àintégrer une démarche d'accessibilité lors de vos développements web.,Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css ce cours pourobjectifde vous aider àintégrer une démarche lors de vos développements web lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 3
Appliquez les concepts clés grâce au projet fil rouge,Nous verrons notamment dans ce cours :,Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css nous verrons notamment dans ce cours lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 4
Le projet “Tonight in Gotham”,les bonnes pratiques d’accessibilité à adopterquand vous développez votre page web ;,Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css les bonnes pratiques accessibilité à adopterquand vous développez votre page web lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 5
En résumé,les attributs ARIAqui vous aideront dans votre démarche d’accessibilité ;,Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css les attributs ariaqui vous aideront dans votre démarche accessibilité lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 6
Créez le squelette de votre page web,"La première chose à faire, quand vousconcevez votre page web, est depenser à son squelette. En effet, bien concevoir cette structure va vous permettre dedélimiter les différentes zones de votre page.",Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css la première chose à faire quand vousconcevez votre page web est depenser à son squelette en effet bien concevoir cette structure va vous permettre dedélimiter les différentes zones de votre page lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 7
Optimisez la sémantique de votre page avec HTML5,"Autrement dit, vous allez pouvoir indiquer :",Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css autrement dit vous allez pouvoir indiquer lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 8
Utilisez les rôles en complément des balises HTML5,les zones qui sont dédiées à lanavigation;,Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css les zones qui sont dédiées à lanavigation lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 9
Définissez les régions de votre page avec ARIA,"les zones relatives aucontenu principalde votre page, ainsi que celles apportant des informations complémentaires ;",Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css les zones relatives aucontenu principalde votre page ainsi que celles apportant des informations complémentaires lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 10
Tonight In Gotham : Réalisez la structure de la page de Batman,"et, enfin, les zones complémentaires, comme une barre de recherche ou une bannière.",Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css et enfin les zones complémentaires comme une barre de recherche ou une bannière lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 11
En résumé,Nous allons donc voir ensemble comment :,Lisa Liskovoi,"Inclusive designer and digital accessibility specialist from Toronto, Canada.",,,Codez un site web accessible avec HTML & CSS,6 heures,codez un site web accessible avec html css nous allons donc voir ensemble comment lisa liskovoi inclusive designer digital accessibility specialist toronto canada,Réponse 12
